name,path,checkout
vimscript,./neoclide/start/coc-neco,fe130c2
rust,./fannheyward/start/coc-rust-analyzer,d968918
typescript,./neoclide/start/coc-tsserver,1.11.12
css,./neoclide/start/coc-css,2.0.0
bash,./josa42/start/coc-sh,v0.7.0
html,./neoclide/start/coc-html,1.8.0
powershell,./coc-extensions/start/coc-powershell,3b9063f
python,./pappasam/start/coc-jedi,v0.34.0
latex,./fannheyward/start/coc-texlab,36ffcf0
dadbod,./kristijanhusak/start/vim-dadbod-completion,339667d
json,./neoclide/start/coc-json,1.8.0
svelte,./coc-extensions/start/coc-svelte,7dda985
